"ip","ok","seconds","message"
"172.16.43.77","False","84","Required ports not reachable (445=False, 135=False)."
"172.16.43.78","False","84","Required ports not reachable (445=False, 135=False)."
"172.16.43.79","False","84","Required ports not reachable (445=False, 135=False)."
"172.16.43.8","False","17","Required ports not reachable (445=False, 135=False)."
"172.16.43.80","False","84","Required ports not reachable (445=False, 135=False)."
"172.16.43.81","False","84","Required ports not reachable (445=False, 135=False)."
"172.16.43.82","False","16","Required ports not reachable (445=True, 135=False)."
"172.16.43.83","False","23","Required ports not reachable (445=False, 135=False)."
"172.16.43.84","False","84","Required ports not reachable (445=False, 135=False)."
"172.16.43.85","False","84","Required ports not reachable (445=False, 135=False)."
"172.16.43.86","False","23","Required ports not reachable (445=False, 135=False)."
"172.16.43.87","False","85","Required ports not reachable (445=False, 135=False)."
"172.16.43.88","False","84","Required ports not reachable (445=False, 135=False)."
"172.16.43.89","False","84","Required ports not reachable (445=False, 135=False)."
"172.16.43.9","False","84","Required ports not reachable (445=False, 135=False)."
"172.16.43.90","False","84","Required ports not reachable (445=False, 135=False)."
"172.16.43.91","False","84","Required ports not reachable (445=False, 135=False)."
"172.16.43.92","False","84","Required ports not reachable (445=False, 135=False)."
"172.16.43.93","False","84","Required ports not reachable (445=False, 135=False)."
"172.16.43.94","False","84","Required ports not reachable (445=False, 135=False)."
"172.16.43.95","False","84","Required ports not reachable (445=False, 135=False)."
"172.16.43.96","False","84","Required ports not reachable (445=False, 135=False)."
"172.16.43.97","False","84","Required ports not reachable (445=False, 135=False)."
"172.16.43.98","False","84","Required ports not reachable (445=False, 135=False)."
"172.16.43.99","False","84","Required ports not reachable (445=False, 135=False)."
